,r6i1p1f1,r21i1p2f1,r13i1p2f1,r19i1p2f1,r17i1p1f1,r3i1p2f1,r11i1p1f1,r14i1p2f1,r14i1p1f1,r7i1p2f1,r12i1p2f1,r12i1p1f1,r17i1p2f1,r7i1p1f1,r25i1p1f1,r11i1p2f1,r18i1p1f1,r4i1p2f1,r21i1p1f1,r15i1p2f1,r23i1p2f1,r9i1p1f1,r25i1p2f1,r20i1p2f1
1998,0.198562996,3.825359871,2.472688057,2.08681678,1.291569282,1.043199836,3.427223274,1.362146675,2.22686927,3.529501106,-1.486657341,4.29450782,1.443670112,2.219026863,0.586901619,3.844129097,-0.653533257,1.645203315,1.715354072,3.806509468,4.718147041,0.793237068,2.89212928,2.944187996
1999,3.146020271,-0.319021843,1.254358284,0.862405159,2.354144966,2.254993355,1.890421211,4.393689033,1.012235481,2.585792,-2.328572624,1.837403023,2.93206916,2.356262581,4.767603523,2.189566719,4.184930183,2.981589729,1.662384407,2.314738838,0.591867744,2.522813179,2.040548469,2.324814827
2000,2.906614448,2.624994575,4.349483101,0.000500862,2.485780403,1.029639045,1.773502571,2.331473762,1.459589912,-0.552337273,2.288512336,2.70164405,-0.090094536,1.514468452,1.356008369,-0.378929985,-1.442814568,-0.836239556,3.184120247,4.090578377,0.784571907,3.952630684,1.463608162,1.319484932
2001,0.399318306,2.182123176,1.167552559,1.487856819,0.854014351,0.082040169,4.1447602,3.885798713,1.577401802,0.815362617,-0.410184258,2.391317817,2.069294807,1.667725898,2.248037483,1.52001136,2.179075386,-1.815843743,1.123208381,-0.885549248,-0.118334587,3.110316841,-0.391627739,3.661059028
2002,0.972558662,0.375701362,-0.202093132,1.66545478,2.986647102,2.420326607,3.45100135,2.53129676,2.32706092,2.845752937,3.67915229,4.347408821,3.332092048,-0.415564202,1.375407173,-4.04587426,1.435626289,0.486013557,1.954882881,-0.558603142,8.862359688,1.217688362,2.736447517,3.877737495
2003,4.492739021,2.357872078,1.518812324,0.652579719,-0.662878655,2.445294868,2.474609443,-0.086809014,-0.383340081,2.472150032,1.050023872,2.071020271,3.522492744,3.585490181,2.931443245,1.204468757,2.264847175,3.420854866,1.10513343,2.257628242,4.696650764,2.945504219,-0.031061638,2.959315254
2004,-0.13164727,-0.47596093,1.564877083,8.267516853,0.524373237,3.716782295,2.83880439,0.388898994,2.544642097,7.874192878,3.018860847,1.437292549,3.798674385,1.53554023,4.622883674,2.809156563,11.06157142,2.681288215,2.438564827,0.07302314,-1.091314629,1.312984993,2.621323005,-1.073020867
2005,-2.961778191,3.761457283,-1.283710564,0.822981941,3.534428169,1.461875374,2.670537178,2.00128791,0.154906379,1.607833931,1.658620369,7.770864326,1.550025093,2.260981819,2.785848152,1.970859138,2.202275459,-0.759760674,2.269245369,1.313709175,3.301691658,3.207196419,4.312705452,4.645930549
2006,1.962256233,0.914248726,2.00966407,1.388057319,1.649163276,0.064167244,2.883723518,2.236423103,3.51491523,3.536566841,6.775518257,1.337923042,-1.525279167,0.802841865,3.124286873,2.653541023,3.498938362,6.731536018,0.968114082,2.602563545,0.08349311,1.638618538,1.434519417,7.501585762
2007,3.920070869,2.532157661,3.693370735,0.839277412,0.361562263,-0.729126824,2.81721717,1.464355842,2.635369941,2.341271736,3.151534797,2.425598518,1.982071296,1.037977058,3.243283455,3.64529792,4.910181648,1.981892769,2.348634102,3.54429969,2.702113411,2.936389839,4.031963264,3.973111946
